name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
One carbon pool by folate	20	8	2.55	3	0.0017	0.048	3.65	1.28	9.84	1	Customised	ATIC, DHFR, GART, MTHFD1, MTHFD1L, MTHFD2, SHMT2, TYMS	ATIC, DHFR, GART, MTHFD1, MTHFD1L, MTHFD2, SHMT2, TYMS	ALDH1L1, ALDH1L2, AMT, ATIC, DHFR, DHFR2, FTCD, GART, MTFMT, MTHFD1, MTHFD1L, MTHFD2, MTHFD2L, MTHFR, MTHFS, MTR, SHMT1, SHMT2, ST20-MTHFS, TYMS	ALDH1L1, ALDH1L2, AMT, ATIC, DHFR, DHFR2, FTCD, GART, MTFMT, MTHFD1, MTHFD1L, MTHFD2, MTHFD2L, MTHFR, MTHFS, MTR, SHMT1, SHMT2, ST20-MTHFS, TYMS
Oxidative phosphorylation	134	48	2.28	6.67	4.8e-10	4e-08	3.44	2.29	5.11	1	Customised	ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, ATP5PD, ATP5PF, ATP5PO, ATP6V0A4, ATP6V1C2, ATP6V1E2, ATP6V1F, COX10, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX7A2L, COX7B, CYC1, CYCS, NDUFA1, NDUFA12, NDUFA6, NDUFA8, NDUFA9, NDUFAB1, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB9, NDUFC1, NDUFS2, NDUFS5, NDUFS6, NDUFV3, PPA1, SDHB, SDHC, UQCR10, UQCRB, UQCRC1, UQCRFS1, UQCRH, UQCRHL	ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, ATP5PD, ATP5PF, ATP5PO, ATP6V0A4, ATP6V1C2, ATP6V1E2, ATP6V1F, COX10, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX7A2L, COX7B, CYC1, CYCS, NDUFA1, NDUFA12, NDUFA6, NDUFA8, NDUFA9, NDUFAB1, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB9, NDUFC1, NDUFS2, NDUFS5, NDUFS6, NDUFV3, PPA1, SDHB, SDHC, UQCR10, UQCRB, UQCRC1, UQCRFS1, UQCRH, UQCRHL	ATP12A, ATP4A, ATP4B, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MF, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATP6, ATP6AP1, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, ATP8, COX1, COX10, COX11, COX15, COX17, COX2, COX3, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, CYC1, CYCS, CYTB, LHPP, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA4L2, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFC2-KCTD14, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, PPA1, PPA2, SDHA, SDHB, SDHC, SDHD, TCIRG1, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRHL, UQCRQ	ATP12A, ATP4A, ATP4B, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MF, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATP6, ATP6AP1, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, ATP8, COX1, COX10, COX11, COX15, COX17, COX2, COX3, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, CYC1, CYCS, CYTB, LHPP, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA4L2, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFC2-KCTD14, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, PPA1, PPA2, SDHA, SDHB, SDHC, SDHD, TCIRG1, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRHL, UQCRQ
Pentose phosphate pathway	30	7	1.49	1.16	0.085	0.36	1.65	0.592	4.02	1	Customised	GPI, PGD, PRPS2, RPE, RPIA, TALDO1, TKT	GPI, PGD, PRPS2, RPE, RPIA, TALDO1, TKT	ALDOA, ALDOB, ALDOC, DERA, FBP1, FBP2, G6PD, GLYCTK, GPI, H6PD, IDNK, PFKL, PFKM, PFKP, PGD, PGLS, PGM1, PGM2, PRPS1, PRPS1L1, PRPS2, RBKS, RGN, RPE, RPEL1, RPIA, TALDO1, TKT, TKTL1, TKTL2	ALDOA, ALDOB, ALDOC, DERA, FBP1, FBP2, G6PD, GLYCTK, GPI, H6PD, IDNK, PFKL, PFKM, PFKP, PGD, PGLS, PGM1, PGM2, PRPS1, PRPS1L1, PRPS2, RBKS, RGN, RPE, RPEL1, RPIA, TALDO1, TKT, TKTL1, TKTL2
Phosphonate and phosphinate metabolism	6	3	3.18	2.31	0.0069	0.09	5.41	0.72	40.6	1	Customised	PCYT1B, PCYT2, SELENOI	PCYT1B, PCYT2, SELENOI	CEPT1, CHPT1, PCYT1A, PCYT1B, PCYT2, SELENOI	CEPT1, CHPT1, PCYT1A, PCYT1B, PCYT2, SELENOI
Pyrimidine metabolism	58	14	1.54	1.8	0.029	0.2	1.75	0.87	3.31	1	Customised	CAD, CTPS1, DTYMK, ENTPD6, HDDC2, NME1, NME2, NT5C3A, RRM1, RRM2, TK1, TYMS, UCK2, UMPS	CAD, CTPS1, DTYMK, ENTPD6, HDDC2, NME1, NME2, NT5C3A, RRM1, RRM2, TK1, TYMS, UCK2, UMPS	AK9, ASMTL, CAD, CANT1, CDA, CMPK1, CMPK2, CTPS1, CTPS2, DCK, DCTD, DCTPP1, DHODH, DPYD, DPYS, DTYMK, DUT, ENPP1, ENPP3, ENTPD1, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, HDDC2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5C3A, NT5C3B, NT5DC4, NT5E, NT5M, NUDT2, RRM1, RRM2, RRM2B, TK1, TK2, TYMP, TYMS, UCK1, UCK2, UCKL1, UMPS, UPB1, UPP1, UPP2	AK9, ASMTL, CAD, CANT1, CDA, CMPK1, CMPK2, CTPS1, CTPS2, DCK, DCTD, DCTPP1, DHODH, DPYD, DPYS, DTYMK, DUT, ENPP1, ENPP3, ENTPD1, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, HDDC2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5C3A, NT5C3B, NT5DC4, NT5E, NT5M, NUDT2, RRM1, RRM2, RRM2B, TK1, TK2, TYMP, TYMS, UCK1, UCK2, UCKL1, UMPS, UPB1, UPP1, UPP2
Pyruvate metabolism	47	11	1.49	1.47	0.053	0.3	1.67	0.755	3.4	1	Customised	ACACA, ACAT2, FH, LDHA, LDHB, MDH1, MDH2, ME1, ME2, PDHA1, PKM	ACACA, ACAT2, FH, LDHA, LDHB, MDH1, MDH2, ME1, ME2, PDHA1, PKM	ACACA, ACACB, ACAT1, ACAT2, ACOT12, ACSS1, ACSS2, ACYP1, ACYP2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, AKR1A1, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, DLAT, DLD, FH, GLO1, GRHPR, HAGH, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LDHD, MDH1, MDH2, ME1, ME2, ME3, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, PKLR, PKM	ACACA, ACACB, ACAT1, ACAT2, ACOT12, ACSS1, ACSS2, ACYP1, ACYP2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, AKR1A1, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, DLAT, DLD, FH, GLO1, GRHPR, HAGH, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LDHD, MDH1, MDH2, ME1, ME2, ME3, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, PKLR, PKM
Steroid biosynthesis	20	7	2.23	2.38	0.0075	0.09	2.94	0.983	8.02	1	Customised	DHCR7, EBP, LBR, LSS, NSDHL, SOAT1, SQLE	DHCR7, EBP, LBR, LSS, NSDHL, SOAT1, SQLE	CEL, CYP24A1, CYP27B1, CYP2R1, CYP51A1, DHCR24, DHCR7, EBP, FDFT1, HSD17B7, LBR, LIPA, LSS, MSMO1, NSDHL, SC5D, SOAT1, SOAT2, SQLE, TM7SF2	CEL, CYP24A1, CYP27B1, CYP2R1, CYP51A1, DHCR24, DHCR7, EBP, FDFT1, HSD17B7, LBR, LIPA, LSS, MSMO1, NSDHL, SC5D, SOAT1, SOAT2, SQLE, TM7SF2
Terpenoid backbone biosynthesis	23	8	2.21	2.53	0.0055	0.09	2.92	1.06	7.42	1	Customised	ACAT2, FDPS, FNTA, HMGCS1, MVD, NUS1, PDSS1, ZMPSTE24	ACAT2, FDPS, FNTA, HMGCS1, MVD, NUS1, PDSS1, ZMPSTE24	ACAT1, ACAT2, CHURC1-FNTB, DHDDS, FDPS, FNTA, FNTB, GGPS1, HMGCR, HMGCS1, HMGCS2, ICMT, IDI1, IDI2, MVD, MVK, NUS1, PCYOX1, PDSS1, PDSS2, PMVK, RCE1, ZMPSTE24	ACAT1, ACAT2, CHURC1-FNTB, DHDDS, FDPS, FNTA, FNTB, GGPS1, HMGCR, HMGCS1, HMGCS2, ICMT, IDI1, IDI2, MVD, MVK, NUS1, PCYOX1, PDSS1, PDSS2, PMVK, RCE1, ZMPSTE24
Various types of N-glycan biosynthesis	39	9	1.47	1.28	0.072	0.34	1.63	0.673	3.58	1	Customised	ALG2, ALG3, B4GALT2, B4GALT3, DDOST, MGAT4B, RPN1, RPN2, STT3A	ALG2, ALG3, B4GALT2, B4GALT3, DDOST, MGAT4B, RPN1, RPN2, STT3A	ALG1, ALG11, ALG12, ALG13, ALG14, ALG2, ALG3, ALG9, B4GALNT3, B4GALNT4, B4GALT1, B4GALT2, B4GALT3, CHST8, CHST9, DAD1, DDOST, FUT8, HEXA, HEXB, HEXD, MAN1A1, MAN1A2, MAN1B1, MAN1C1, MAN2A1, MAN2A2, MGAT1, MGAT2, MGAT4A, MGAT4B, MGAT4C, MGAT4D, RPN1, RPN2, ST3GAL3, STT3A, STT3B, TUSC3	ALG1, ALG11, ALG12, ALG13, ALG14, ALG2, ALG3, ALG9, B4GALNT3, B4GALNT4, B4GALT1, B4GALT2, B4GALT3, CHST8, CHST9, DAD1, DDOST, FUT8, HEXA, HEXB, HEXD, MAN1A1, MAN1A2, MAN1B1, MAN1C1, MAN2A1, MAN2A2, MGAT1, MGAT2, MGAT4A, MGAT4B, MGAT4C, MGAT4D, RPN1, RPN2, ST3GAL3, STT3A, STT3B, TUSC3
Vitamin B6 metabolism	6	2	2.12	1.19	0.053	0.3	2.69	0.243	18.9	1	Customised	PDXK, PSAT1	PDXK, PSAT1	AOX1, PDXK, PDXP, PHOSPHO2, PNPO, PSAT1	AOX1, PDXK, PDXP, PHOSPHO2, PNPO, PSAT1
